date,label,month,quarter,sourceDataset,updateDate,value,year
1971,1971,,,LMS,2015-10-13T23:00:00.000Z,3.6,1971
1972,1972,,,LMS,2015-10-13T23:00:00.000Z,3.9,1972
1973,1973,,,LMS,2015-10-13T23:00:00.000Z,3.0,1973
1974,1974,,,LMS,2015-10-13T23:00:00.000Z,3.0,1974
1975,1975,,,LMS,2015-10-13T23:00:00.000Z,4.1,1975
1976,1976,,,LMS,2015-10-13T23:00:00.000Z,5.1,1976
1977,1977,,,LMS,2015-10-13T23:00:00.000Z,5.2,1977
1978,1978,,,LMS,2015-10-13T23:00:00.000Z,5.1,1978
1979,1979,,,LMS,2015-10-13T23:00:00.000Z,4.8,1979
1980,1980,,,LMS,2015-10-13T23:00:00.000Z,6.6,1980
1981,1981,,,LMS,2015-10-13T23:00:00.000Z,10.2,1981
1982,1982,,,LMS,2015-10-13T23:00:00.000Z,11.5,1982
1983,1983,,,LMS,2015-10-13T23:00:00.000Z,12.1,1983
1984,1984,,,LMS,2015-10-13T23:00:00.000Z,11.9,1984
1985,1985,,,LMS,2015-10-13T23:00:00.000Z,11.6,1985
1986,1986,,,LMS,2015-10-13T23:00:00.000Z,11.7,1986
1987,1987,,,LMS,2015-10-13T23:00:00.000Z,10.8,1987
1988,1988,,,LMS,2015-10-13T23:00:00.000Z,8.8,1988
1989,1989,,,LMS,2015-10-13T23:00:00.000Z,7.3,1989
1990,1990,,,LMS,2015-10-13T23:00:00.000Z,7.4,1990
1991,1991,,,LMS,2015-10-13T23:00:00.000Z,9.9,1991
1992,1992,,,LMS,2015-10-13T23:00:00.000Z,11.8,1992
1993,1993,,,LMS,2015-10-13T23:00:00.000Z,12.3,1993
1994,1994,,,LMS,2015-10-13T23:00:00.000Z,11.2,1994
1995,1995,,,LMS,2015-10-13T23:00:00.000Z,10.0,1995
1996,1996,,,LMS,2015-10-13T23:00:00.000Z,9.4,1996
1997,1997,,,LMS,2015-10-13T23:00:00.000Z,7.9,1997
1998,1998,,,LMS,2015-10-13T23:00:00.000Z,6.9,1998
1999,1999,,,LMS,2015-10-13T23:00:00.000Z,6.6,1999
2000,2000,,,LMS,2015-10-13T23:00:00.000Z,5.9,2000
2001,2001,,,LMS,2015-10-13T23:00:00.000Z,5.6,2001
2002,2002,,,LMS,2015-10-13T23:00:00.000Z,5.7,2002
2003,2003,,,LMS,2015-10-13T23:00:00.000Z,5.6,2003
2004,2004,,,LMS,2015-10-13T23:00:00.000Z,5.1,2004
2005,2005,,,LMS,2015-10-13T23:00:00.000Z,5.2,2005
2006,2006,,,LMS,2015-10-13T23:00:00.000Z,5.8,2006
2007,2007,,,LMS,2015-10-13T23:00:00.000Z,5.6,2007
2008,2008,,,LMS,2015-10-13T23:00:00.000Z,6.2,2008
2009,2009,,,LMS,2015-10-13T23:00:00.000Z,8.6,2009
2010,2010,,,LMS,2015-10-13T23:00:00.000Z,8.7,2010
2011,2011,,,LMS,2015-10-13T23:00:00.000Z,8.7,2011
2012,2012,,,LMS,2015-10-13T23:00:00.000Z,8.4,2012
2013,2013,,,LMS,2015-10-13T23:00:00.000Z,8.1,2013
2014,2014,,,LMS,2015-10-13T23:00:00.000Z,6.4,2014
2015,2015,,,LMS,2019-02-19T00:00:00.000Z,5.6,2015
2016,2016,,,LMS,2017-02-15T00:00:00.000Z,5.0,2016
2017,2017,,,LMS,2018-02-21T00:00:00.000Z,4.5,2017
2018,2018,,,LMS,2019-02-19T00:00:00.000Z,4.1,2018
2019,2019,,,LMS,2020-02-18T00:00:00.000Z,4.0,2019
2020,2020,,,LMS,2021-02-23T00:00:00.000Z,4.8,2020
2021,2021,,,LMS,2022-02-15T00:00:00.000Z,4.7,2021
