iyear,Attack Count,weaptype1_txt
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Incendiary
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Unknown
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Incendiary
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Unknown
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Unknown
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
